capacity_practice_area_id,core_capacity_area_id,core_capacity_area_name,capacity_practice_area_code,capacity_practice_area_name,capacity_practice_area_definition,guiding_standard_or_principle,indicator_standard_id,global_standard_commitment,example_course_addressable_gap,example_performance_goal,example_practical_proof,default_target_learner_group_id,typical_ksme_diagnosis,typical_course_fit_decision,safeguarding_sensitivity_hint,monitoring_dashboard_category,annex4_source_section,display_order,active_status
CPA_GOV_001,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_001,Board roles and responsibilities,"Assesses whether the CSO has a clear, documented, and consistently applied practice for board roles and responsibilities.",The organization should demonstrate a practical and evidence-informed approach to board roles and responsibilities.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document board roles and responsibilities in day-to-day organizational practice.,Use a simple tool or procedure to apply board roles and responsibilities in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating board roles and responsibilities.",TLG_BOARD,Knowledge,Course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,1,Active
CPA_GOV_002,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_002,Management-board relationship,"Assesses whether the CSO has a clear, documented, and consistently applied practice for management-board relationship.",The organization should demonstrate a practical and evidence-informed approach to management-board relationship.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document management-board relationship in day-to-day organizational practice.,Use a simple tool or procedure to apply management-board relationship in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating management-board relationship.",TLG_BOARD,Skill,Course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,2,Active
CPA_GOV_003,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_003,Decision documentation,"Assesses whether the CSO has a clear, documented, and consistently applied practice for decision documentation.",The organization should demonstrate a practical and evidence-informed approach to decision documentation.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document decision documentation in day-to-day organizational practice.,Use a simple tool or procedure to apply decision documentation in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating decision documentation.",TLG_BOARD,Knowledge,Partly course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,3,Active
CPA_GOV_004,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_004,Conflict of interest,"Assesses whether the CSO has a clear, documented, and consistently applied practice for conflict of interest.",The organization should demonstrate a practical and evidence-informed approach to conflict of interest.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document conflict of interest in day-to-day organizational practice.,Use a simple tool or procedure to apply conflict of interest in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating conflict of interest.",TLG_BOARD,Skill,Course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,4,Active
CPA_GOV_005,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_005,Leadership accountability,"Assesses whether the CSO has a clear, documented, and consistently applied practice for leadership accountability.",The organization should demonstrate a practical and evidence-informed approach to leadership accountability.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document leadership accountability in day-to-day organizational practice.,Use a simple tool or procedure to apply leadership accountability in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating leadership accountability.",TLG_BOARD,Knowledge,Course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,5,Active
CPA_GOV_006,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_006,Strategic oversight,"Assesses whether the CSO has a clear, documented, and consistently applied practice for strategic oversight.",The organization should demonstrate a practical and evidence-informed approach to strategic oversight.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document strategic oversight in day-to-day organizational practice.,Use a simple tool or procedure to apply strategic oversight in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating strategic oversight.",TLG_BOARD,Skill,Partly course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,6,Active
CPA_GOV_007,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_007,Governance meetings,"Assesses whether the CSO has a clear, documented, and consistently applied practice for governance meetings.",The organization should demonstrate a practical and evidence-informed approach to governance meetings.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document governance meetings in day-to-day organizational practice.,Use a simple tool or procedure to apply governance meetings in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating governance meetings.",TLG_BOARD,Knowledge,Course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,7,Active
CPA_GOV_008,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_008,Internal policies,"Assesses whether the CSO has a clear, documented, and consistently applied practice for internal policies.",The organization should demonstrate a practical and evidence-informed approach to internal policies.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document internal policies in day-to-day organizational practice.,Use a simple tool or procedure to apply internal policies in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating internal policies.",TLG_BOARD,Skill,Course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,8,Active
CPA_GOV_009,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_009,Ethical decision-making,"Assesses whether the CSO has a clear, documented, and consistently applied practice for ethical decision-making.",The organization should demonstrate a practical and evidence-informed approach to ethical decision-making.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document ethical decision-making in day-to-day organizational practice.,Use a simple tool or procedure to apply ethical decision-making in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating ethical decision-making.",TLG_BOARD,Knowledge,Partly course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,9,Active
CPA_GOV_010,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_010,Leadership transition,"Assesses whether the CSO has a clear, documented, and consistently applied practice for leadership transition.",The organization should demonstrate a practical and evidence-informed approach to leadership transition.,DGNEAR_SO3_1,GS_C12,Relevant staff cannot consistently apply or document leadership transition in day-to-day organizational practice.,Use a simple tool or procedure to apply leadership transition in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating leadership transition.",TLG_BOARD,Skill,Course-addressable,Low,Internal Governance and Leadership,Annex 4 — Internal Governance and Leadership,10,Active
